doc_id,text,paper_name,created,favoriteCount,retweetCount,pol_id
kr_newspapers_twitter_0000,"여야, 11조300억원 규모 추경안 오전 본회의서 처리…공무원 증원 4500명→2575명",chosun,2017-07-21,2,2,right
kr_newspapers_twitter_0001,"[사설] 선심, 낭비, 헛돈 줄인 뒤 국민에게 세금 더 내라고 하라",chosun,2017-07-21,5,16,right
kr_newspapers_twitter_0002,비행기 탈때마다 마음 조이는 '아주 뚱뚱한 사람'의 심정을 알아?,chosun,2017-07-21,0,0,right
kr_newspapers_twitter_0003,남양주~춘천 제2경춘국도 뚫린다…2025년 완공 목표,chosun,2017-07-21,0,0,right
kr_newspapers_twitter_0004,영국여왕 팔 부축하면 결례? 곤욕치른 캐나다 총독,chosun,2017-07-21,2,0,right
kr_newspapers_twitter_0005,"새벽에 여자 혼자 사는 집 초인종 누르는 '여장 남자'의 정체는…경찰, 소셜미디어글 진위 확인 나서",chosun,2017-07-21,1,4,right
kr_newspapers_twitter_0006,"하태경 ""아무 때나 '美찬양' 보수는 청산해야 할 낡은 보수…맹목적 친미 극복할 때""",chosun,2017-07-21,7,6,right
kr_newspapers_twitter_0007,'문재인 지지자'들이 추미애를 '우쭈쭈'하는 이유는,chosun,2017-07-21,4,6,right
kr_newspapers_twitter_0008,"'100억 수임료' 부장판사 출신 최유정 변호사, 항소심서도 징역 6년…法 ""전관예우 불식 위해 엄중 처벌 불가피""",chosun,2017-07-21,5,11,right
kr_newspapers_twitter_0009,"홍준표 ""연말에는 과거 지지층 회복될 것""",chosun,2017-07-21,2,4,right
kr_newspapers_twitter_0010,"‘결국 마이너행’ 황재균, 향후 거취 어떻게 되나",chosun,2017-07-22,0,1,right
kr_newspapers_twitter_0011,"'유명 아이돌 성폭행 신고'… 경찰 ""강제성 증거 못 찾아""",chosun,2017-07-22,2,0,right
kr_newspapers_twitter_0012,"'국민은 설치류' 막말논란 김학철 의원 귀국 ""국민 여러분께 상처 사죄…외유관광 매도는 매우 서운""",chosun,2017-07-22,2,5,right
kr_newspapers_twitter_0013,"""탈북 일가족 5명, 북한 압송 중 음독자살""",chosun,2017-07-22,9,35,right
kr_newspapers_twitter_0014,"중복 맞아 700인분 삼계탕 끊이던 식당 조리원 13명, '가스중독' 증상에 병원 후송",chosun,2017-07-22,5,48,right
kr_newspapers_twitter_0015,"정족수 충분하다더니…""표결해달라"" 한국당에 SOS친 민주당",chosun,2017-07-22,5,24,right
kr_newspapers_twitter_0016,"낮엔 의대교수, 밤엔 마약 파티광…미 USC 전 의대학장, '이중생활'로 해임돼",chosun,2017-07-22,0,1,right
kr_newspapers_twitter_0017,자유한국당 집단 퇴장에도 본회의장 지키고 '찬성'표 던진 장제원·김현아 의원,chosun,2017-07-22,18,32,right
kr_newspapers_twitter_0018,[속보] 추경안 표결 직전 한국당 퇴장해 정족수 4명 부족 … 처리 지연,chosun,2017-07-22,2,0,right
kr_newspapers_twitter_0019,미 백악관 새 대변인에 새라 샌더스 부대변인 승진 발탁,chosun,2017-07-22,1,3,right
kr_newspapers_twitter_0020,화성개발·우주여행·자기부상열차...'아이언맨'의 끝없는 도전,chosun,2017-07-23,0,2,right
