doc_id,text,sex,age_cohort,political_id3,college
immigrant_interviews_0000,동포이니까,Male,40-49,Conservative,No college
immigrant_interviews_0001,유창한 한국어,Male,30-39,Centrist,Some college or more
immigrant_interviews_0002,없음,Male,40-49,Centrist,Some college or more
immigrant_interviews_0003,국적 우선시 함,Female,40-49,Centrist,Some college or more
immigrant_interviews_0004,동포,Male,60+,Centrist,Some college or more
immigrant_interviews_0005,구직활동이 등록되어 있음,Female,30-39,Progressive,Some college or more
immigrant_interviews_0006,한국의 국익과 인권을 위해 이민을 검토하면 될 것 같음,Female,50-59,Conservative,Some college or more
immigrant_interviews_0007,한국에 필요한사람같아서,Female,60+,Conservative,No college
immigrant_interviews_0008,여자이므로,Male,40-49,Centrist,Some college or more
immigrant_interviews_0009,구직 활동에 대한 유무 및 완료 사항,Male,40-49,Progressive,Some college or more
immigrant_interviews_0010,같은 민족이라서,Female,18-29,Centrist,Some college or more
immigrant_interviews_0011,북한사람이 우리나라 말을 더 잘하기 때문에,Female,18-29,Progressive,Some college or more
immigrant_interviews_0012,국적이 좀 꺼려진다,Male,18-29,Centrist,Some college or more
immigrant_interviews_0013,확실히 근면 성실한 신뢰성이 있는자,Male,60+,Conservative,No college
immigrant_interviews_0014,언어구사력,Male,30-39,Conservative,Some college or more
immigrant_interviews_0015,한국어 사용,Male,50-59,Progressive,Some college or more
immigrant_interviews_0016,이민을 해서 나라에 더 이바지할것 같다,Female,30-39,Centrist,Some college or more
immigrant_interviews_0017,조건이 더 좋은것 같아서,Male,60+,Progressive,No college
immigrant_interviews_0018,한국어 의사소통 능력,Male,40-49,Centrist,Some college or more
immigrant_interviews_0019,이미지,Female,60+,Progressive,No college
immigrant_interviews_0020,착실하게 정착해서 생활할 가능성이 커보여서,Female,30-39,Centrist,Some college or more
immigrant_interviews_0021,동포이며 절실함이있는사람,Male,60+,Progressive,Some college or more
immigrant_interviews_0022,확실히 구직목표가 있다,Female,18-29,Centrist,Some college or more
immigrant_interviews_0023,이념적 성향이 우선,Male,50-59,Conservative,Some college or more
immigrant_interviews_0024,구직계획,Male,18-29,Centrist,Some college or more
immigrant_interviews_0025,어려움 없이 잘 정착할 것 같아서,Male,50-59,Centrist,Some college or more
immigrant_interviews_0026,신원의 확실성을 알기 우해서,Female,50-59,Centrist,Some college or more
immigrant_interviews_0027,좀더 적응을 잘 할듯,Male,18-29,Centrist,Some college or more
immigrant_interviews_0028,둘 다 선호하지 않음.,Male,30-39,Centrist,Some college or more
immigrant_interviews_0029,미국사람은 일본사람보다 신뢰가 간다,Female,30-39,Centrist,Some college or more
immigrant_interviews_0030,특별한 이유 없음,Male,30-39,Progressive,Some college or more
immigrant_interviews_0031,친근감,Male,40-49,Centrist,Some college or more
immigrant_interviews_0032,농부로서 구직활동을 하겠다는 점,Male,60+,Conservative,Some college or more
immigrant_interviews_0033,직업이 마음에 들어서입니다.,Male,18-29,Conservative,No college
immigrant_interviews_0034,한국어를 유능하게 잘 해서~,Female,60+,Centrist,Some college or more
immigrant_interviews_0035,확실한 구직의사,Male,50-59,Conservative,Some college or more
immigrant_interviews_0036,신뢰가 가서,Male,50-59,Centrist,No college
immigrant_interviews_0037,고용계약이 된 사람이라서,Male,50-59,Progressive,Some college or more
immigrant_interviews_0038,아무래도 정서적으로 가까운...,Female,50-59,Centrist,Some college or more
immigrant_interviews_0039,더 호감이 가서,Female,40-49,Progressive,Some college or more
immigrant_interviews_0040,1후보자 사무직은 우리 인력이 남아 도는 경우지만 2후보자의 과학연구직은 필요 인력,Female,40-49,Centrist,Some college or more
immigrant_interviews_0041,"망명, 남자, 농부",Male,50-59,Progressive,Some college or more
immigrant_interviews_0042,다시 한번 검증할 대상이기 때문,Male,60+,Progressive,Some college or more
immigrant_interviews_0043,우리나라에 이익이 가느냐 안 가느냐의 유무,Female,50-59,Centrist,No college
immigrant_interviews_0044,출신지때문에,Female,50-59,Centrist,Some college or more
immigrant_interviews_0045,직업이 있어서,Female,30-39,Centrist,Some college or more
immigrant_interviews_0046,동포이기때문,Female,50-59,Conservative,Some college or more
immigrant_interviews_0047,동포이자 농사로 국가 발전에 조금 더 이득일 듯,Male,30-39,Conservative,Some college or more
immigrant_interviews_0048,직업,Female,40-49,Centrist,No college
immigrant_interviews_0049,마음에 들었다,Female,40-49,Centrist,Some college or more
immigrant_interviews_0050,전체적으로 파악하여 선택 하였다,Male,50-59,Progressive,Some college or more
immigrant_interviews_0051,"1. 예맨보단 북한의 같은 민족이 좋을것으로 판단됨.(단, 간첩이 아니라는것이 확실할때) 2. 우방국인 미국이기떄문에 문제가 없을것 3. 중국은 싫음.",Male,30-39,Conservative,Some college or more
immigrant_interviews_0052,예멘(이슬람)인의 입국보다는 중국인이 낫다.,Male,30-39,Conservative,Some college or more
immigrant_interviews_0053,"우리나라에서 일하고 적응 잘하면 문제없이 살수 있을것 같아서요,, 아무준비 없이 오는 사람들은 받아주고 싶지 않아요, 나라세금으로 그사람들에게 가는게 너무 아쉽습니다. 우리나라사람도 정말 필요로 하는 세금들이 많잖아요,,",Female,40-49,Centrist,No college
immigrant_interviews_0054,우선적으로 한국 오는 이유가 정확한 사람을 뽑고 싶었습니다,Female,30-39,Progressive,Some college or more
immigrant_interviews_0055,진정성,Female,30-39,Conservative,Some college or more
immigrant_interviews_0056,단기근무이기 때문,Male,50-59,Conservative,Some college or more
immigrant_interviews_0057,보지,Female,40-49,Centrist,Some college or more
immigrant_interviews_0058,여성이면서 직업이 좋은것같아서,Male,60+,Conservative,Some college or more
immigrant_interviews_0059,구직계획이 있음,Male,60+,Centrist,Some college or more
immigrant_interviews_0060,이민이 꼭 필요할것 같아서,Female,40-49,Progressive,Some college or more
immigrant_interviews_0061,국내활동가능성,Male,40-49,Progressive,Some college or more
immigrant_interviews_0062,아무래도 같은 동포니까 선택했습니다,Female,50-59,Conservative,Some college or more
immigrant_interviews_0063,우리말을 잘 하는지와 같은 동포로서 우리 사회에 동화되기 쉬운지를 판단했을 때 더 나아 보여서,Female,40-49,Conservative,Some college or more
immigrant_interviews_0064,이민이 절박해 보여서,Male,30-39,Conservative,Some college or more
immigrant_interviews_0065,"동포, 간호사, 여성",Male,60+,Progressive,Some college or more
immigrant_interviews_0066,사무직,Female,18-29,Centrist,Some college or more
immigrant_interviews_0067,같은 국가라면 여성의 이민이 더 낫다고 판단,Male,30-39,Centrist,Some college or more
immigrant_interviews_0068,한국에 이민을 온 명확한 계획성과 준비성이 있어서 믿을수 있다는 신임을 가질수 있엇다,Male,30-39,Conservative,Some college or more
immigrant_interviews_0069,"사용자와의 계약 완료인가, 아닌가를 중점적으로 살폈음",Female,60+,Progressive,Some college or more
immigrant_interviews_0070,출신국가,Male,60+,Centrist,No college
immigrant_interviews_0071,직업이 간호사인게 맘에 들었다. 점점 수명이 늘어나면서 간병인들의 수요가 높아지는데 반해 공급이 원활하지 않은게 사실이다. 물론 간호사이긴 하지만 노인요양병원이나 간병인으로 활용하면 우리 사회에 좋게 작용할 거 같다.,Female,30-39,Conservative,Some college or more
immigrant_interviews_0072,한국말을 할 줄 알면 적응하기 쉬울 거 같다.,Female,40-49,Centrist,Some college or more
immigrant_interviews_0073,북한출신 재정착 지원이 동포애차원에서 선호됨,Male,60+,Conservative,No college
immigrant_interviews_0074,한국에서 놀고 먹은 이유가 없어보임,Male,50-59,Centrist,Some college or more
immigrant_interviews_0075,고용주와의 취직여부를우선적으로 고려함,Male,18-29,Conservative,No college
immigrant_interviews_0076,이민국의언어와교육으로준비되어있음,Male,60+,Progressive,Some college or more
immigrant_interviews_0077,망명은 어쩔수 없는 상황에서 한것으로 판단,Male,40-49,Centrist,Some college or more
immigrant_interviews_0078,이민의 구체적인 사유가 있어보였음,Female,30-39,Progressive,Some college or more
immigrant_interviews_0079,재정착,Male,30-39,Centrist,Some college or more
immigrant_interviews_0080,한국어실력 이민목적,Male,18-29,Progressive,Some college or more
immigrant_interviews_0081,더 신뢰감이 가서,Male,50-59,Conservative,Some college or more
immigrant_interviews_0082,의사라는 직업의 활용,Male,18-29,Conservative,Some college or more
immigrant_interviews_0083,IT관련 종사자를 선호했다.,Male,30-39,Centrist,Some college or more
immigrant_interviews_0084,면접완료,Male,40-49,Progressive,Some college or more
immigrant_interviews_0085,고용주와 계약된 단기근무라서,Female,40-49,Progressive,Some college or more
immigrant_interviews_0086,안전성,Female,50-59,Centrist,Some college or more
immigrant_interviews_0087,신원이 좀더 확실해 보임. (과거 데이타가 더 필요) 한국에 오려는 목적을 명확히 파악할 필요 있음.,Male,40-49,Centrist,Some college or more
immigrant_interviews_0088,일본인,Male,50-59,Conservative,Some college or more
immigrant_interviews_0089,한국어가 유창함,Female,50-59,Conservative,No college
